"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"1","00ABFX",26.7,8.7,16.4,0.5
"2","00ABFY",36.8,10.2,31.2,0.8
"3","00ABFZ",29.4,10.2,28,0.9
"4","00ABGB",20,8.8,29.9,1.1
"5","00ABGC",37.4,10.2,28.9,0.8
"6","00ABGD",54,12.2,25.5,0.5
"7","00ABGE",37.3,9.6,30,0.8
"8","00ABGF",45.3,12.2,32.1,0.7
"9","00ABGG",13.1,5.6,22.7,1.1
"10","00ABGH",38.6,9.6,32.1,0.8
"11","00ABGJ",36.4,9.5,31.8,0.8
"12","00ABGK",25.7,8.6,29.9,0.8
"13","00ABGL",44.4,9.2,24.1,0.7
"14","00ABGM",37.4,9.5,32.1,0.8
"15","00ABGN",39.9,11.9,30.3,0.8
"16","00ABGP",12.3,6.9,24,1
"17","00ACFX",9,4,17.4,1.3
"18","00ACFY",35.5,6.9,23.6,0.8
"19","00ACFZ",12.5,6.2,13.7,0.8
"20","00ACGA",34.3,4.8,18,0.8
"21","00ACGB",13.4,4.9,15,1
"22","00ACGC",9.8,4.3,17.1,1.2
"23","00ACGD",22.2,4.2,14.1,0.8
"24","00ACGE",15.8,4.2,17,1.2
"25","00ACGF",4.9,3.4,12.3,1.2
"26","00ACGG",4.9,2,8.2,7.2
"27","00ACGH",13.3,4.5,16.4,1
"28","00ACGJ",13.6,4.1,17.8,1.2
"29","00ACGK",12.1,4.7,13.5,1
"30","00ACGL",7.7,2.9,13.1,1.2
"31","00ACGM",12.8,3.8,14,1.3
"32","00ACGN",7.3,3.7,14.7,1.3
"33","00ACGP",8.7,2.5,13,1.3
"34","00ACGQ",25.7,5.4,21.6,1.1
"35","00ACGR",7.2,3.3,12.2,0.9
"36","00ACGS",16.8,5,17.8,0.9
"37","00ACGT",11.5,4.5,15.7,1
"38","00ADGA",10.7,3.5,23.1,1.3
"39","00ADGB",16.1,6.1,23.7,1
"40","00ADGC",3.8,2.1,22.4,1.3
"41","00ADGD",2.6,2.4,21.5,1.4
"42","00ADGE",4.4,2.7,22.9,1.3
"43","00ADGF",3.9,3.3,21,1.2
"44","00ADGG",29.4,6.7,25.1,1.1
"45","00ADGH",21.8,4.7,25.3,1.1
"46","00ADGJ",22.8,4.1,25.1,1.2
"47","00ADGK",8.9,3.3,23,1.2
"48","00ADGL",12.6,4.6,26.4,1.2
"49","00ADGM",20.2,6.6,23.6,1
"50","00ADGN",1.1,2.9,22.1,1.3
"51","00ADGP",21,5.3,23.8,1.1
"52","00ADGQ",13.2,2.8,20.9,1.2
"53","00ADGR",37.4,8.9,28.8,0.9
"54","00ADGS",9.3,3.8,23.3,1.3
"55","00ADGT",4.1,2.1,18.9,1.4
"56","00ADGU",7,3.7,21.8,1.4
"57","00ADGW",6.7,2,19.1,1.2
"58","00ADGX",38.4,9.7,20.8,0.8
"59","00AEGJ",12.1,4.5,22.1,0.9
"60","00AEGK",26.6,6.7,18.1,1
"61","00AEGL",21.5,5.3,15.9,0.7
"62","00AEGM",22.1,8,24.4,0.9
"63","00AEGN",19.9,9.1,19.8,0.8
"64","00AEGP",13.9,5.1,20.3,1.1
"65","00AEGQ",44,23.4,24.1,0.5
"66","00AEGR",26.7,13.3,19.7,0.6
"67","00AEGS",5.6,2.6,17.3,1.4
"68","00AEGT",45,13.3,17.1,0.4
"69","00AEGU",19.2,7.3,14.5,0.6
"70","00AEGW",16.2,3.1,13.4,1.3
"71","00AEGX",12.6,4.9,17.5,1
"72","00AEGY",19.9,6.9,13.3,0.7
"73","00AEGZ",15.3,4.2,21.4,1.2
"74","00AEHA",62.3,13.7,25.9,0.6
"75","00AEHB",15,6.1,18.1,0.9
"76","00AEHC",12,4.7,19.4,0.9
"77","00AEHD",19.2,7.7,22.6,0.9
"78","00AEHE",15.6,6,20.7,0.8
"79","00AEHF",26.8,8.9,18.5,0.5
"80","00AFGD",7,2.4,14.5,1.4
"81","00AFGE",4.6,2.8,18.3,1.7
"82","00AFGF",15.7,4.3,20.5,1.3
"83","00AFGG",10,3.3,13.1,1
"84","00AFGH",4.6,2.3,16.4,1.5
"85","00AFGJ",7.1,2.9,15.8,1.4
"86","00AFGK",12.6,3.7,15.2,1
"87","00AFGL",9.2,3.1,12.1,1
"88","00AFGM",24.7,6.1,27.9,1
"89","00AFGN",33.5,7.1,28.5,1.1
"90","00AFGP",33.2,8.2,16.9,0.6
"91","00AFGQ",5.5,1.6,21.9,1.7
"92","00AFGR",8.8,2.2,18.1,1.3
"93","00AFGS",3.1,2.2,15.7,1.4
"94","00AFGT",8.6,3.1,17.1,1.3
"95","00AFGU",31.9,7.3,26,1
"96","00AFGW",15.8,4.8,22.3,1.2
"97","00AFGX",29.8,7.4,17,0.8
"98","00AFGY",2.7,2.1,15.2,1.4
"99","00AFGZ",17.4,4.7,18.6,1
"100","00AFHA",6.2,1.7,12.1,1.3
"101","00AFHB",4.4,2.2,15.2,1.4
"102","00AGGD",19.6,3.3,8.4,0.6
"103","00AGGE",28.6,4.2,7.8,0.2
"104","00AGGF",30.5,5.4,11.7,0.5
"105","00AGGG",40.3,6.2,13.9,0.4
"106","00AGGH",16.7,5,9.2,0.6
"107","00AGGJ",7.1,1.9,6.1,0.8
